Seed 1656949570
ARCH 2|F_ID 0|LIMIT 4
before: 
3(369)
Melhor resultado nxn: MAPK_Cancer_Cell_Fate_Network,  31,  7,  9,  137, 1, 3, 492452, 14505.53, 0, 0.00, 1: 73; 2: 26; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 553,  6, 10,  144, 1, 3, 473594, 14505.53, 68, 0.00, 1: 65; 2: 35; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 977,  8,  7,  144, 1, 3, 443520, 14505.53, 85, 0.00, 1: 67; 2: 31; 3: 5; 
MAPK_Cancer_Cell_Fate_Network,  41,  5, 13,  144, 1, 3, 504832, 14505.53, 65, 0.00, 1: 68; 2: 29; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 604,  6, 10,  144, 1, 3, 473631, 14505.53, 225, 0.00, 1: 66; 2: 33; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 617,  8,  7,  144, 1, 3, 443520, 14505.53, 69, 0.00, 1: 66; 2: 33; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 843,  7,  8,  144, 1, 3, 443520, 14505.53, 112, 0.00, 1: 68; 2: 29; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 611,  7,  8,  144, 1, 3, 443520, 14505.53, 0, 0.00, 1: 66; 2: 33; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 340,  7,  8,  144, 1, 3, 443520, 14505.53, 225, 0.00, 1: 69; 2: 27; 3: 7; 
MAPK_Cancer_Cell_Fate_Network, 449,  7,  9,  144, 1, 3, 492666, 14505.53, 178, 0.00, 1: 65; 2: 35; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 222,  7,  8,  145, 1, 3, 443520, 14505.53, 0, 0.00, 1: 68; 2: 28; 3: 7; 
MAPK_Cancer_Cell_Fate_Network, 834,  7,  8,  145, 1, 3, 443520, 14505.53, 79, 0.00, 1: 63; 2: 38; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 817,  7,  9,  145, 1, 3, 493166, 14505.53, 0, 0.00, 1: 67; 2: 30; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 408,  5, 12,  145, 1, 3, 473472, 14505.53, 104, 0.00, 1: 68; 2: 28; 3: 7; 
MAPK_Cancer_Cell_Fate_Network, 555,  7,  9,  145, 1, 3, 493251, 14505.53, 83, 0.00, 1: 67; 2: 30; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 533,  6, 10,  145, 1, 3, 473596, 14505.53, 0, 0.00, 1: 65; 2: 34; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 217,  7,  8,  145, 1, 3, 443520, 14505.53, 92, 0.00, 1: 67; 2: 30; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 941,  6, 10,  145, 1, 3, 473338, 14505.53, 0, 0.00, 1: 67; 2: 30; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 890,  5, 13,  145, 1, 3, 503235, 14505.53, 0, 0.00, 1: 68; 2: 28; 3: 7; 
MAPK_Cancer_Cell_Fate_Network, 714,  7,  8,  145, 1, 3, 443520, 14505.53, 80, 0.00, 1: 70; 2: 24; 3: 9; 
MAPK_Cancer_Cell_Fate_Network, 260,  5, 13,  145, 1, 3, 504150, 14505.53, 0, 0.00, 1: 67; 2: 30; 3: 6; 
MAPK_Cancer_Cell_Fate_Network,  79,  7,  8,  145, 1, 3, 443520, 14505.53, 0, 0.00, 1: 68; 2: 28; 3: 7; 
MAPK_Cancer_Cell_Fate_Network, 700,  5, 11,  145, 1, 3, 435105, 14505.53, 1, 0.00, 1: 66; 2: 32; 3: 5; 
MAPK_Cancer_Cell_Fate_Network,  26,  6, 10,  145, 1, 3, 472915, 14505.53, 80, 0.00, 1: 64; 2: 36; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 419,  5, 13,  145, 1, 3, 505316, 14505.53, 0, 0.00, 1: 67; 2: 30; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 120, 10,  6,  145, 1, 3, 473119, 14505.53, 0, 0.00, 1: 66; 2: 32; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 705,  8,  7,  145, 1, 3, 443520, 14505.53, 83, 0.00, 1: 65; 2: 34; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 374,  5, 13,  145, 1, 3, 503443, 14505.53, 0, 0.00, 1: 65; 2: 34; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 665,  6, 10,  145, 1, 3, 473858, 14505.53, 94, 0.00, 1: 66; 2: 32; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 619,  7,  9,  145, 1, 3, 492532, 14505.53, 70, 0.00, 1: 65; 2: 34; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 181,  6, 10,  145, 1, 3, 473270, 14505.53, 255, 0.00, 1: 67; 2: 30; 3: 6; 
MAPK_Cancer_Cell_Fate_Network,  97,  5, 13,  145, 1, 3, 505253, 14505.53, 0, 0.00, 1: 66; 2: 32; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 746, 10,  6,  145, 1, 3, 473563, 14505.53, 76, 0.00, 1: 67; 2: 30; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 314,  7,  9,  145, 1, 3, 492235, 14505.53, 0, 0.00, 1: 65; 2: 34; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 905,  7,  8,  145, 1, 3, 443520, 14505.53, 85, 0.00, 1: 69; 2: 26; 3: 8; 
MAPK_Cancer_Cell_Fate_Network, 310,  5, 12,  145, 1, 3, 473517, 14505.53, 0, 0.00, 1: 65; 2: 34; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 758,  8,  7,  145, 1, 3, 443520, 14505.53, 0, 0.00, 1: 67; 2: 30; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 351, 10,  6,  145, 1, 3, 473488, 14505.53, 0, 0.00, 1: 68; 2: 28; 3: 7; 
MAPK_Cancer_Cell_Fate_Network, 552,  8,  7,  145, 1, 3, 443520, 14505.53, 32, 0.00, 1: 64; 2: 36; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 395,  8,  7,  145, 1, 3, 443520, 14505.53, 111, 0.00, 1: 68; 2: 28; 3: 7; 
MAPK_Cancer_Cell_Fate_Network,  36,  7,  8,  145, 1, 3, 443520, 14505.53, 0, 0.00, 1: 64; 2: 36; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 860,  6, 10,  145, 1, 3, 472597, 14505.53, 225, 0.00, 1: 65; 2: 34; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 628,  8,  7,  145, 1, 3, 443520, 14505.53, 255, 0.00, 1: 65; 2: 34; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 772,  7,  8,  145, 1, 3, 443520, 14505.53, 225, 0.00, 1: 67; 2: 30; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 916,  8,  7,  145, 1, 3, 443520, 14505.53, 225, 0.00, 1: 66; 2: 32; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 861, 10,  6,  145, 1, 3, 473406, 14505.53, 85, 0.00, 1: 68; 2: 28; 3: 7; 
MAPK_Cancer_Cell_Fate_Network, 108, 10,  6,  145, 1, 3, 473234, 14505.53, 32, 0.00, 1: 66; 2: 32; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 659, 10,  6,  145, 1, 3, 473223, 14505.53, 112, 0.00, 1: 66; 2: 32; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 317,  6, 10,  145, 1, 3, 473674, 14505.53, 0, 0.00, 1: 66; 2: 32; 3: 5; 
MAPK_Cancer_Cell_Fate_Network,  95,  6, 10,  145, 1, 3, 473677, 14505.53, 0, 0.00, 1: 68; 2: 28; 3: 7; 
MAPK_Cancer_Cell_Fate_Network, 899,  6, 10,  145, 1, 3, 473032, 14505.53, 112, 0.00, 1: 66; 2: 32; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 883,  8,  7,  145, 1, 3, 443520, 14505.53, 0, 0.00, 1: 66; 2: 32; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 148,  6, 10,  145, 1, 3, 473261, 14505.53, 225, 0.00, 1: 67; 2: 30; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 986, 10,  6,  145, 1, 3, 473509, 14505.53, 80, 0.00, 1: 66; 2: 32; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 813,  7,  8,  145, 1, 3, 443520, 14505.53, 0, 0.00, 1: 66; 2: 32; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 735,  5, 11,  145, 1, 3, 435105, 14505.53, 0, 0.00, 1: 68; 2: 28; 3: 7; 
MAPK_Cancer_Cell_Fate_Network,  47,  6, 10,  146, 1, 3, 473181, 14505.53, 0, 0.00, 1: 64; 2: 35; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 346,  7,  8,  146, 1, 3, 443520, 14505.53, 80, 0.00, 1: 66; 2: 31; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 268,  5, 11,  146, 1, 3, 435105, 14505.53, 0, 0.00, 1: 68; 2: 27; 3: 8; 
MAPK_Cancer_Cell_Fate_Network, 267,  8,  7,  146, 1, 3, 443520, 14505.53, 0, 0.00, 1: 70; 2: 23; 3: 10; 
MAPK_Cancer_Cell_Fate_Network, 266,  7,  8,  146, 1, 3, 443520, 14505.53, 0, 0.00, 1: 67; 2: 29; 3: 7; 
MAPK_Cancer_Cell_Fate_Network, 589,  7,  8,  146, 1, 3, 443520, 14505.53, 85, 0.00, 1: 66; 2: 31; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 984,  8,  7,  146, 1, 3, 443520, 14505.53, 168, 0.00, 1: 68; 2: 27; 3: 8; 
MAPK_Cancer_Cell_Fate_Network, 372,  8,  7,  146, 1, 3, 443520, 14505.53, 0, 0.00, 1: 63; 2: 37; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 587,  7,  8,  146, 1, 3, 443520, 14505.53, 111, 0.00, 1: 64; 2: 35; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 649,  5, 11,  146, 1, 3, 435105, 14505.53, 83, 0.00, 1: 65; 2: 33; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 473,  7,  8,  146, 1, 3, 443520, 14505.53, 93, 0.00, 1: 66; 2: 31; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 663,  7,  8,  146, 1, 3, 443520, 14505.53, 0, 0.00, 1: 66; 2: 31; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 281,  7,  9,  146, 1, 3, 493330, 14505.53, 92, 0.00, 1: 63; 2: 37; 3: 3; 
MAPK_Cancer_Cell_Fate_Network,  70,  5, 13,  146, 1, 3, 504528, 14505.53, 0, 0.00, 1: 64; 2: 35; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 857,  8,  7,  146, 1, 3, 443520, 14505.53, 95, 0.00, 1: 67; 2: 29; 3: 7; 
MAPK_Cancer_Cell_Fate_Network, 435,  7,  8,  146, 1, 3, 443520, 14505.53, 0, 0.00, 1: 66; 2: 31; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 866,  8,  7,  146, 1, 3, 443520, 14505.53, 0, 0.00, 1: 63; 2: 37; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 822,  5, 12,  146, 1, 3, 473680, 14505.53, 0, 0.00, 1: 67; 2: 29; 3: 7; 
MAPK_Cancer_Cell_Fate_Network, 884,  8,  7,  146, 1, 3, 443520, 14505.53, 0, 0.00, 1: 65; 2: 33; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 744, 10,  6,  146, 1, 3, 473694, 14505.53, 32, 0.00, 1: 66; 2: 31; 3: 6; 
MAPK_Cancer_Cell_Fate_Network,   7,  7,  8,  146, 1, 3, 443520, 14505.53, 0, 0.00, 1: 65; 2: 33; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 752,  8,  7,  146, 1, 3, 443520, 14505.53, 0, 0.00, 1: 67; 2: 29; 3: 7; 
MAPK_Cancer_Cell_Fate_Network,  86,  5, 12,  146, 1, 3, 473376, 14505.53, 0, 0.00, 1: 67; 2: 29; 3: 7; 
MAPK_Cancer_Cell_Fate_Network, 138,  7,  8,  146, 1, 3, 443520, 14505.53, 124, 0.00, 1: 66; 2: 31; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 123,  5, 13,  146, 1, 3, 504912, 14505.53, 0, 0.00, 1: 67; 2: 29; 3: 7; 
MAPK_Cancer_Cell_Fate_Network, 124,  7,  9,  146, 1, 3, 493131, 14505.53, 32, 0.00, 1: 64; 2: 35; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 764, 10,  6,  146, 1, 3, 473436, 14505.53, 1, 0.00, 1: 64; 2: 35; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 151,  6, 10,  146, 1, 3, 473420, 14505.53, 0, 0.00, 1: 64; 2: 35; 3: 4; 
MAPK_Cancer_Cell_Fate_Network,  65,  5, 11,  146, 1, 3, 435105, 14505.53, 18, 0.00, 1: 65; 2: 33; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 838,  5, 12,  146, 1, 3, 473180, 14505.53, 0, 0.00, 1: 68; 2: 27; 3: 8; 
MAPK_Cancer_Cell_Fate_Network, 235,  7,  8,  146, 1, 3, 443520, 14505.53, 77, 0.00, 1: 64; 2: 35; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 195,  7,  8,  146, 1, 3, 443520, 14505.53, 111, 0.00, 1: 63; 2: 37; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 169,  7,  8,  146, 1, 3, 443520, 14505.53, 65, 0.00, 1: 66; 2: 31; 3: 6; 
MAPK_Cancer_Cell_Fate_Network,  45,  8,  7,  146, 1, 3, 443520, 14505.53, 0, 0.00, 1: 66; 2: 31; 3: 6; 
MAPK_Cancer_Cell_Fate_Network,  52,  8,  7,  146, 1, 3, 443520, 14505.53, 0, 0.00, 1: 65; 2: 33; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 932, 10,  6,  146, 1, 3, 473276, 14505.53, 0, 0.00, 1: 67; 2: 29; 3: 7; 
MAPK_Cancer_Cell_Fate_Network,  50,  8,  7,  146, 1, 3, 443520, 14505.53, 0, 0.00, 1: 65; 2: 33; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 778,  7,  9,  146, 1, 3, 492111, 14505.53, 124, 0.00, 1: 67; 2: 29; 3: 7; 
MAPK_Cancer_Cell_Fate_Network, 407,  5, 12,  147, 1, 3, 473735, 14505.53, 0, 0.00, 1: 63; 2: 36; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 107,  8,  7,  147, 1, 3, 443520, 14505.53, 49, 0.00, 1: 66; 2: 30; 3: 7; 
MAPK_Cancer_Cell_Fate_Network, 445, 10,  6,  147, 1, 3, 473814, 14505.53, 0, 0.00, 1: 66; 2: 30; 3: 7; 
MAPK_Cancer_Cell_Fate_Network, 143,  6, 10,  147, 1, 3, 473414, 14505.53, 0, 0.00, 1: 62; 2: 38; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 594, 10,  6,  147, 1, 3, 473207, 14505.53, 124, 0.00, 1: 65; 2: 32; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 804,  5, 11,  147, 1, 3, 435105, 14505.53, 0, 0.00, 1: 64; 2: 34; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 795, 10,  6,  147, 1, 3, 473120, 14505.53, 112, 0.00, 1: 64; 2: 34; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 607,  7,  9,  147, 1, 3, 492419, 14505.53, 0, 0.00, 1: 66; 2: 30; 3: 7; 
MAPK_Cancer_Cell_Fate_Network, 945,  6, 10,  147, 1, 3, 473764, 14505.53, 0, 0.00, 1: 66; 2: 30; 3: 7; 
MAPK_Cancer_Cell_Fate_Network, 690,  6, 10,  147, 1, 3, 473528, 14505.53, 117, 0.00, 1: 64; 2: 34; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 394, 10,  6,  147, 1, 3, 473382, 14505.53, 125, 0.00, 1: 62; 2: 38; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 930, 10,  6,  147, 1, 3, 473465, 14505.53, 0, 0.00, 1: 68; 2: 26; 3: 9; 
MAPK_Cancer_Cell_Fate_Network,  58,  5, 11,  147, 1, 3, 435105, 14505.53, 0, 0.00, 1: 66; 2: 30; 3: 7; 
MAPK_Cancer_Cell_Fate_Network,  62,  8,  7,  147, 1, 3, 443520, 14505.53, 0, 0.00, 1: 65; 2: 32; 3: 6; 
MAPK_Cancer_Cell_Fate_Network,  67,  5, 12,  147, 1, 3, 473593, 14505.53, 111, 0.00, 1: 65; 2: 32; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 506,  8,  7,  147, 1, 3, 443520, 14505.53, 0, 0.00, 1: 64; 2: 34; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 897,  6, 10,  147, 1, 3, 473546, 14505.53, 85, 0.00, 1: 64; 2: 34; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 574,  7,  8,  147, 1, 3, 443520, 14505.53, 0, 0.00, 1: 61; 2: 40; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 885,  5, 12,  147, 1, 3, 473348, 14505.53, 0, 0.00, 1: 67; 2: 28; 3: 8; 
MAPK_Cancer_Cell_Fate_Network, 540,  7,  9,  147, 1, 3, 493366, 14505.53, 225, 0.00, 1: 64; 2: 34; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 543,  7,  8,  147, 1, 3, 443520, 14505.53, 0, 0.00, 1: 64; 2: 34; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 357,  5, 11,  147, 1, 3, 435105, 14505.53, 0, 0.00, 1: 66; 2: 30; 3: 7; 
MAPK_Cancer_Cell_Fate_Network, 480,  5, 11,  147, 1, 3, 435105, 14505.53, 12, 0.00, 1: 64; 2: 34; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 849,  7,  9,  147, 1, 3, 492195, 14505.53, 200, 0.00, 1: 63; 2: 36; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 571,  7,  8,  147, 1, 3, 443520, 14505.53, 0, 0.00, 1: 68; 2: 26; 3: 9; 
MAPK_Cancer_Cell_Fate_Network, 953,  8,  7,  147, 1, 3, 443520, 14505.53, 0, 0.00, 1: 66; 2: 30; 3: 7; 
MAPK_Cancer_Cell_Fate_Network, 958,  5, 12,  147, 1, 3, 473422, 14505.53, 0, 0.00, 1: 63; 2: 36; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 177,  7,  8,  147, 1, 3, 443520, 14505.53, 255, 0.00, 1: 63; 2: 36; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 695,  6, 10,  147, 1, 3, 473435, 14505.53, 0, 0.00, 1: 67; 2: 28; 3: 8; 
MAPK_Cancer_Cell_Fate_Network, 768,  8,  7,  147, 1, 3, 443520, 14505.53, 160, 0.00, 1: 62; 2: 38; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 676, 10,  6,  147, 1, 3, 473778, 14505.53, 0, 0.00, 1: 64; 2: 34; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 729,  5, 12,  147, 1, 3, 473740, 14505.53, 94, 0.00, 1: 66; 2: 30; 3: 7; 
MAPK_Cancer_Cell_Fate_Network, 283,  5, 12,  147, 1, 3, 473458, 14505.53, 112, 0.00, 1: 64; 2: 34; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 635,  5, 13,  147, 1, 3, 505011, 14505.53, 0, 0.00, 1: 65; 2: 32; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 454,  8,  7,  147, 1, 3, 443520, 14505.53, 0, 0.00, 1: 65; 2: 32; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 888,  5, 13,  148, 1, 3, 504555, 14505.53, 0, 0.00, 1: 66; 2: 29; 3: 8; 
MAPK_Cancer_Cell_Fate_Network, 128,  6, 10,  148, 1, 3, 473554, 14505.53, 64, 0.00, 1: 63; 2: 35; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 537,  6, 10,  148, 1, 3, 473547, 14505.53, 93, 0.00, 1: 62; 2: 37; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 538,  8,  7,  148, 1, 3, 443520, 14505.53, 80, 0.00, 1: 62; 2: 37; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 965,  5, 13,  148, 1, 3, 505525, 14505.53, 85, 0.00, 1: 66; 2: 29; 3: 8; 
MAPK_Cancer_Cell_Fate_Network, 987, 10,  6,  148, 1, 3, 473640, 14505.53, 112, 0.00, 1: 62; 2: 37; 3: 4; 
MAPK_Cancer_Cell_Fate_Network,  88,  8,  7,  148, 1, 3, 443520, 14505.53, 40, 0.00, 1: 64; 2: 33; 3: 6; 
MAPK_Cancer_Cell_Fate_Network,  93,  8,  7,  148, 1, 3, 443520, 14505.53, 85, 0.00, 1: 63; 2: 35; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 876,  7,  8,  148, 1, 3, 443520, 14505.53, 82, 0.00, 1: 63; 2: 35; 3: 5; 
MAPK_Cancer_Cell_Fate_Network,  18,  5, 11,  148, 1, 3, 435105, 14505.53, 80, 0.00, 1: 64; 2: 33; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 442,  8,  7,  148, 1, 3, 443520, 14505.53, 0, 0.00, 1: 63; 2: 35; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 334,  7,  8,  148, 1, 3, 443520, 14505.53, 0, 0.00, 1: 65; 2: 31; 3: 7; 
MAPK_Cancer_Cell_Fate_Network, 110,  8,  7,  148, 1, 3, 443520, 14505.53, 0, 0.00, 1: 67; 2: 27; 3: 9; 
MAPK_Cancer_Cell_Fate_Network, 447,  6, 10,  148, 1, 3, 473229, 14505.53, 0, 0.00, 1: 63; 2: 35; 3: 5; 
MAPK_Cancer_Cell_Fate_Network,  72,  7,  9,  148, 1, 3, 492056, 14505.53, 16, 0.00, 1: 64; 2: 33; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 901,  5, 11,  148, 1, 3, 435105, 14505.53, 85, 0.00, 1: 65; 2: 31; 3: 7; 
MAPK_Cancer_Cell_Fate_Network, 312,  5, 11,  148, 1, 3, 435105, 14505.53, 0, 0.00, 1: 64; 2: 33; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 682,  5, 12,  148, 1, 3, 473687, 14505.53, 71, 0.00, 1: 64; 2: 33; 3: 6; 
MAPK_Cancer_Cell_Fate_Network,  22,  7,  8,  148, 1, 3, 443520, 14505.53, 0, 0.00, 1: 64; 2: 33; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 292,  6, 10,  148, 1, 3, 473447, 14505.53, 0, 0.00, 1: 63; 2: 35; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 163,  5, 13,  148, 1, 3, 504921, 14505.53, 0, 0.00, 1: 67; 2: 27; 3: 9; 
MAPK_Cancer_Cell_Fate_Network, 390, 10,  6,  148, 1, 3, 473520, 14505.53, 0, 0.00, 1: 64; 2: 33; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 634,  7,  8,  148, 1, 3, 443520, 14505.53, 0, 0.00, 1: 62; 2: 37; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 677,  5, 11,  148, 1, 3, 435105, 14505.53, 0, 0.00, 1: 64; 2: 33; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 787,  7,  8,  148, 1, 3, 443520, 14505.53, 111, 0.00, 1: 61; 2: 39; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 697,  5, 13,  148, 1, 3, 503955, 14505.53, 0, 0.00, 1: 64; 2: 33; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 730,  7,  8,  149, 1, 3, 443520, 14505.53, 80, 0.00, 1: 60; 2: 40; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 565,  5, 11,  149, 1, 3, 435105, 14505.53, 0, 0.00, 1: 63; 2: 34; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 556,  7,  8,  149, 1, 3, 443520, 14505.53, 80, 0.00, 1: 64; 2: 32; 3: 7; 
MAPK_Cancer_Cell_Fate_Network, 655,  5, 11,  149, 1, 3, 435105, 14505.53, 0, 0.00, 1: 64; 2: 32; 3: 7; 
MAPK_Cancer_Cell_Fate_Network, 704, 10,  6,  149, 1, 3, 473208, 14505.53, 240, 0.00, 1: 64; 2: 32; 3: 7; 
MAPK_Cancer_Cell_Fate_Network, 459,  5, 11,  149, 1, 3, 435105, 14505.53, 112, 0.00, 1: 63; 2: 34; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 507,  8,  7,  149, 1, 3, 443520, 14505.53, 0, 0.00, 1: 60; 2: 40; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 219,  7,  8,  149, 1, 3, 443520, 14505.53, 112, 0.00, 1: 62; 2: 36; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 647,  5, 13,  149, 1, 3, 504756, 14505.53, 0, 0.00, 1: 65; 2: 30; 3: 8; 
MAPK_Cancer_Cell_Fate_Network, 327,  5, 11,  149, 1, 3, 435105, 14505.53, 0, 0.00, 1: 62; 2: 36; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 409, 10,  6,  149, 1, 3, 473213, 14505.53, 93, 0.00, 1: 65; 2: 30; 3: 8; 
MAPK_Cancer_Cell_Fate_Network, 570,  5, 12,  149, 1, 3, 473395, 14505.53, 0, 0.00, 1: 64; 2: 32; 3: 7; 
MAPK_Cancer_Cell_Fate_Network, 989,  6, 10,  149, 1, 3, 473463, 14505.53, 85, 0.00, 1: 64; 2: 32; 3: 7; 
MAPK_Cancer_Cell_Fate_Network, 598,  7,  8,  149, 1, 3, 443520, 14505.53, 0, 0.00, 1: 63; 2: 34; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 278,  5, 12,  149, 1, 3, 473269, 14505.53, 0, 0.00, 1: 64; 2: 32; 3: 7; 
MAPK_Cancer_Cell_Fate_Network, 955,  8,  7,  150, 1, 3, 443520, 14505.53, 0, 0.00, 1: 58; 2: 43; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 820,  7,  8,  150, 1, 3, 443520, 14505.53, 0, 0.00, 1: 64; 2: 31; 3: 8; 
MAPK_Cancer_Cell_Fate_Network, 264, 10,  6,  150, 1, 3, 473311, 14505.53, 0, 0.00, 1: 61; 2: 37; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 193,  5, 12,  150, 1, 3, 473702, 14505.53, 196, 0.00, 1: 62; 2: 35; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 527, 10,  6,  150, 1, 3, 473649, 14505.53, 0, 0.00, 1: 63; 2: 33; 3: 7; 
MAPK_Cancer_Cell_Fate_Network, 575,  8,  7,  150, 1, 3, 443520, 14505.53, 0, 0.00, 1: 64; 2: 31; 3: 8; 
MAPK_Cancer_Cell_Fate_Network, 942,  6, 10,  150, 1, 3, 473250, 14505.53, 0, 0.00, 1: 62; 2: 35; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 959,  8,  7,  150, 1, 3, 443520, 14505.53, 0, 0.00, 1: 61; 2: 37; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 313,  5, 11,  150, 1, 3, 435105, 14505.53, 0, 0.00, 1: 64; 2: 31; 3: 8; 
MAPK_Cancer_Cell_Fate_Network, 569,  7,  8,  150, 1, 3, 443520, 14505.53, 0, 0.00, 1: 62; 2: 35; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 415,  8,  7,  150, 1, 3, 443520, 14505.53, 0, 0.00, 1: 65; 2: 29; 3: 9; 
