Seed 1656949570
ARCH 0|F_ID 2|LIMIT 4
before: 
4(987)
Melhor resultado nxn: MAPK_Cancer_Cell_Fate_Network,  73,  7,  9,  178, 1, 4, 492805, 18288.16, 162, 0.00, 1: 54; 2: 28; 3: 16; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 372,  8,  7,  188, 1, 4, 443520, 18288.16, 0, 0.00, 1: 55; 2: 24; 3: 11; 4: 13; 
MAPK_Cancer_Cell_Fate_Network, 571,  7,  8,  188, 1, 4, 443520, 18288.16, 0, 0.00, 1: 48; 2: 32; 3: 16; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 800,  7,  9,  188, 1, 4, 492794, 18288.16, 5, 0.00, 1: 47; 2: 34; 3: 15; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 634,  7,  8,  188, 1, 4, 443520, 18288.16, 0, 0.00, 1: 49; 2: 30; 3: 17; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 961,  6, 10,  188, 1, 4, 473449, 18288.16, 229, 0.00, 1: 49; 2: 33; 3: 11; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 693,  6, 10,  188, 1, 4, 473408, 18288.16, 115, 0.00, 1: 47; 2: 36; 3: 11; 4: 9; 
MAPK_Cancer_Cell_Fate_Network,  21,  6, 10,  188, 1, 4, 473424, 18288.16, 85, 0.00, 1: 49; 2: 32; 3: 13; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 966,  6, 10,  188, 1, 4, 473476, 18288.16, 0, 0.00, 1: 44; 2: 37; 3: 18; 4: 4; 
MAPK_Cancer_Cell_Fate_Network, 738,  7,  9,  188, 1, 4, 492754, 18288.16, 0, 0.00, 1: 45; 2: 37; 3: 15; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 490,  7,  8,  188, 1, 4, 443520, 18288.16, 78, 0.00, 1: 47; 2: 34; 3: 15; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 277,  7,  9,  188, 1, 4, 492783, 18288.16, 0, 0.00, 1: 49; 2: 33; 3: 11; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 272,  8,  7,  188, 1, 4, 443520, 18288.16, 0, 0.00, 1: 49; 2: 29; 3: 19; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 271,  7,  8,  188, 1, 4, 443520, 18288.16, 0, 0.00, 1: 48; 2: 31; 3: 18; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 675,  7,  9,  188, 1, 4, 492755, 18288.16, 0, 0.00, 1: 51; 2: 26; 3: 19; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 469,  6, 10,  188, 1, 4, 473335, 18288.16, 85, 0.00, 1: 54; 2: 23; 3: 16; 4: 10; 
MAPK_Cancer_Cell_Fate_Network,  17, 10,  6,  188, 1, 4, 473426, 18288.16, 235, 0.00, 1: 48; 2: 33; 3: 14; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 523,  6, 10,  188, 1, 4, 473405, 18288.16, 0, 0.00, 1: 47; 2: 36; 3: 11; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 133,  7,  9,  188, 1, 4, 492773, 18288.16, 85, 0.00, 1: 48; 2: 31; 3: 18; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 546,  6, 10,  188, 1, 4, 473318, 18288.16, 0, 0.00, 1: 48; 2: 32; 3: 16; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 988,  7,  8,  188, 1, 4, 443520, 18288.16, 237, 0.00, 1: 53; 2: 24; 3: 17; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 346,  7,  8,  188, 1, 4, 443520, 18288.16, 75, 0.00, 1: 47; 2: 34; 3: 15; 4: 7; 
MAPK_Cancer_Cell_Fate_Network,   8,  8,  7,  188, 1, 4, 443520, 18288.16, 0, 0.00, 1: 49; 2: 31; 3: 15; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 989,  6, 10,  188, 1, 4, 473421, 18288.16, 85, 0.00, 1: 47; 2: 32; 3: 19; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 861, 10,  6,  188, 1, 4, 473429, 18288.16, 85, 0.00, 1: 46; 2: 34; 3: 18; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 146,  8,  7,  188, 1, 4, 443520, 18288.16, 120, 0.00, 1: 47; 2: 33; 3: 17; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 823,  7,  8,  188, 1, 4, 443520, 18288.16, 0, 0.00, 1: 47; 2: 33; 3: 17; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 883,  8,  7,  188, 1, 4, 443520, 18288.16, 0, 0.00, 1: 53; 2: 27; 3: 11; 4: 12; 
MAPK_Cancer_Cell_Fate_Network, 880, 10,  6,  188, 1, 4, 473391, 18288.16, 0, 0.00, 1: 50; 2: 30; 3: 14; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 865,  8,  7,  188, 1, 4, 443520, 18288.16, 0, 0.00, 1: 51; 2: 31; 3: 9; 4: 12; 
MAPK_Cancer_Cell_Fate_Network, 388,  8,  7,  188, 1, 4, 443520, 18288.16, 237, 0.00, 1: 45; 2: 36; 3: 17; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 829,  7,  9,  188, 1, 4, 492685, 18288.16, 0, 0.00, 1: 46; 2: 33; 3: 20; 4: 4; 
MAPK_Cancer_Cell_Fate_Network, 817,  7,  9,  188, 1, 4, 492785, 18288.16, 0, 0.00, 1: 51; 2: 27; 3: 17; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 403,  8,  7,  188, 1, 4, 443520, 18288.16, 85, 0.00, 1: 43; 2: 42; 3: 11; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 400,  7,  8,  188, 1, 4, 443520, 18288.16, 208, 0.00, 1: 50; 2: 28; 3: 18; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 135,  7,  9,  188, 1, 4, 492658, 18288.16, 0, 0.00, 1: 50; 2: 27; 3: 20; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 161,  7,  8,  189, 1, 4, 443520, 18288.16, 0, 0.00, 1: 49; 2: 31; 3: 14; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 672,  7,  9,  189, 1, 4, 492717, 18288.16, 15, 0.00, 1: 46; 2: 36; 3: 13; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 774,  8,  7,  189, 1, 4, 443520, 18288.16, 0, 0.00, 1: 49; 2: 29; 3: 18; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 651,  7,  9,  189, 1, 4, 492719, 18288.16, 86, 0.00, 1: 46; 2: 34; 3: 17; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 556,  7,  8,  189, 1, 4, 443520, 18288.16, 80, 0.00, 1: 49; 2: 30; 3: 16; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 102,  6, 10,  189, 1, 4, 473400, 18288.16, 0, 0.00, 1: 48; 2: 32; 3: 15; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 691, 10,  6,  189, 1, 4, 473381, 18288.16, 108, 0.00, 1: 47; 2: 33; 3: 16; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 173,  8,  7,  189, 1, 4, 443520, 18288.16, 32, 0.00, 1: 48; 2: 30; 3: 19; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 526,  8,  7,  189, 1, 4, 443520, 18288.16, 0, 0.00, 1: 48; 2: 31; 3: 17; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 676, 10,  6,  189, 1, 4, 473432, 18288.16, 0, 0.00, 1: 49; 2: 32; 3: 12; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 659, 10,  6,  189, 1, 4, 473460, 18288.16, 86, 0.00, 1: 52; 2: 25; 3: 17; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 172,  6, 10,  189, 1, 4, 473540, 18288.16, 50, 0.00, 1: 45; 2: 36; 3: 16; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 239,  7,  9,  189, 1, 4, 492800, 18288.16, 0, 0.00, 1: 50; 2: 30; 3: 13; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 760,  7,  8,  189, 1, 4, 443520, 18288.16, 0, 0.00, 1: 46; 2: 32; 3: 21; 4: 4; 
MAPK_Cancer_Cell_Fate_Network, 467,  7,  9,  189, 1, 4, 492845, 18288.16, 86, 0.00, 1: 49; 2: 33; 3: 10; 4: 11; 
MAPK_Cancer_Cell_Fate_Network, 842,  7,  8,  189, 1, 4, 443520, 18288.16, 75, 0.00, 1: 50; 2: 28; 3: 17; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 812,  6, 10,  189, 1, 4, 473440, 18288.16, 32, 0.00, 1: 48; 2: 30; 3: 19; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 114,  7,  9,  189, 1, 4, 493157, 18288.16, 0, 0.00, 1: 52; 2: 25; 3: 17; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 553,  6, 10,  189, 1, 4, 473395, 18288.16, 68, 0.00, 1: 49; 2: 28; 3: 20; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 953,  8,  7,  189, 1, 4, 443520, 18288.16, 0, 0.00, 1: 52; 2: 25; 3: 17; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 153,  8,  7,  189, 1, 4, 443520, 18288.16, 236, 0.00, 1: 48; 2: 32; 3: 15; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 626,  7,  9,  189, 1, 4, 492791, 18288.16, 255, 0.00, 1: 51; 2: 28; 3: 14; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 275,  7,  9,  189, 1, 4, 492840, 18288.16, 0, 0.00, 1: 43; 2: 40; 3: 14; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 274,  6, 10,  189, 1, 4, 473412, 18288.16, 0, 0.00, 1: 51; 2: 27; 3: 16; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 254,  7,  8,  189, 1, 4, 443520, 18288.16, 0, 0.00, 1: 48; 2: 32; 3: 15; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 538,  8,  7,  189, 1, 4, 443520, 18288.16, 75, 0.00, 1: 44; 2: 40; 3: 11; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 977,  8,  7,  189, 1, 4, 443520, 18288.16, 229, 0.00, 1: 51; 2: 25; 3: 20; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 642,  8,  7,  189, 1, 4, 443520, 18288.16, 75, 0.00, 1: 45; 2: 35; 3: 18; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 203,  8,  7,  189, 1, 4, 443520, 18288.16, 85, 0.00, 1: 49; 2: 30; 3: 16; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 704, 10,  6,  189, 1, 4, 473416, 18288.16, 240, 0.00, 1: 49; 2: 30; 3: 16; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 304,  8,  7,  189, 1, 4, 443520, 18288.16, 105, 0.00, 1: 48; 2: 31; 3: 17; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 445, 10,  6,  189, 1, 4, 473343, 18288.16, 0, 0.00, 1: 45; 2: 35; 3: 18; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 866,  8,  7,  189, 1, 4, 443520, 18288.16, 0, 0.00, 1: 50; 2: 28; 3: 17; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 195,  7,  8,  189, 1, 4, 443520, 18288.16, 85, 0.00, 1: 52; 2: 21; 3: 25; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 894,  7,  8,  189, 1, 4, 443520, 18288.16, 0, 0.00, 1: 50; 2: 29; 3: 15; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 976,  6, 10,  189, 1, 4, 473520, 18288.16, 192, 0.00, 1: 51; 2: 27; 3: 16; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 191, 10,  6,  189, 1, 4, 473485, 18288.16, 255, 0.00, 1: 50; 2: 28; 3: 17; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 929,  6, 10,  189, 1, 4, 473408, 18288.16, 0, 0.00, 1: 47; 2: 32; 3: 18; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 118,  7,  8,  189, 1, 4, 443520, 18288.16, 0, 0.00, 1: 52; 2: 28; 3: 11; 4: 12; 
MAPK_Cancer_Cell_Fate_Network, 694,  7,  8,  189, 1, 4, 443520, 18288.16, 32, 0.00, 1: 51; 2: 29; 3: 12; 4: 11; 
MAPK_Cancer_Cell_Fate_Network, 779,  7,  8,  189, 1, 4, 443520, 18288.16, 85, 0.00, 1: 49; 2: 28; 3: 20; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 811, 10,  6,  189, 1, 4, 473382, 18288.16, 75, 0.00, 1: 50; 2: 27; 3: 19; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 423,  6, 10,  190, 1, 4, 473502, 18288.16, 0, 0.00, 1: 48; 2: 32; 3: 14; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 680,  8,  7,  190, 1, 4, 443520, 18288.16, 32, 0.00, 1: 53; 2: 24; 3: 15; 4: 11; 
MAPK_Cancer_Cell_Fate_Network, 707, 10,  6,  190, 1, 4, 473421, 18288.16, 86, 0.00, 1: 49; 2: 27; 3: 21; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 708,  6, 10,  190, 1, 4, 473438, 18288.16, 237, 0.00, 1: 48; 2: 30; 3: 18; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 591, 10,  6,  190, 1, 4, 473429, 18288.16, 0, 0.00, 1: 47; 2: 32; 3: 17; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 309,  6, 10,  190, 1, 4, 473435, 18288.16, 0, 0.00, 1: 49; 2: 28; 3: 19; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 308, 10,  6,  190, 1, 4, 473422, 18288.16, 0, 0.00, 1: 49; 2: 27; 3: 21; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 267,  8,  7,  190, 1, 4, 443520, 18288.16, 0, 0.00, 1: 50; 2: 29; 3: 14; 4: 10; 
MAPK_Cancer_Cell_Fate_Network,  52,  8,  7,  190, 1, 4, 443520, 18288.16, 0, 0.00, 1: 51; 2: 24; 3: 21; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 711,  6, 10,  190, 1, 4, 473367, 18288.16, 0, 0.00, 1: 53; 2: 22; 3: 19; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 276,  6, 10,  190, 1, 4, 473437, 18288.16, 0, 0.00, 1: 53; 2: 24; 3: 15; 4: 11; 
MAPK_Cancer_Cell_Fate_Network, 152,  6, 10,  190, 1, 4, 473374, 18288.16, 104, 0.00, 1: 50; 2: 25; 3: 22; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 847, 10,  6,  190, 1, 4, 473480, 18288.16, 0, 0.00, 1: 49; 2: 30; 3: 15; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 140,  8,  7,  190, 1, 4, 443520, 18288.16, 237, 0.00, 1: 47; 2: 31; 3: 19; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 597,  8,  7,  190, 1, 4, 443520, 18288.16, 85, 0.00, 1: 49; 2: 28; 3: 19; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 299,  8,  7,  190, 1, 4, 443520, 18288.16, 111, 0.00, 1: 44; 2: 38; 3: 14; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 984,  8,  7,  190, 1, 4, 443520, 18288.16, 168, 0.00, 1: 52; 2: 26; 3: 14; 4: 11; 
MAPK_Cancer_Cell_Fate_Network, 982,  6, 10,  190, 1, 4, 473454, 18288.16, 0, 0.00, 1: 46; 2: 35; 3: 14; 4: 8; 
MAPK_Cancer_Cell_Fate_Network,  15, 10,  6,  190, 1, 4, 473409, 18288.16, 0, 0.00, 1: 48; 2: 30; 3: 18; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 283,  5, 12,  190, 1, 4, 473383, 18288.16, 86, 0.00, 1: 52; 2: 27; 3: 12; 4: 12; 
MAPK_Cancer_Cell_Fate_Network, 692, 10,  6,  190, 1, 4, 473445, 18288.16, 117, 0.00, 1: 47; 2: 32; 3: 17; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 328,  8,  7,  190, 1, 4, 443520, 18288.16, 16, 0.00, 1: 45; 2: 38; 3: 11; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 843,  7,  8,  190, 1, 4, 443520, 18288.16, 86, 0.00, 1: 47; 2: 31; 3: 19; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 846,  7,  8,  190, 1, 4, 443520, 18288.16, 0, 0.00, 1: 49; 2: 28; 3: 19; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 819, 10,  6,  190, 1, 4, 473439, 18288.16, 0, 0.00, 1: 48; 2: 30; 3: 18; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 771,  7,  9,  190, 1, 4, 492731, 18288.16, 85, 0.00, 1: 46; 2: 33; 3: 18; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 558,  8,  7,  190, 1, 4, 443520, 18288.16, 32, 0.00, 1: 43; 2: 40; 3: 13; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 435,  7,  8,  190, 1, 4, 443520, 18288.16, 0, 0.00, 1: 47; 2: 31; 3: 19; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 222,  7,  8,  190, 1, 4, 443520, 18288.16, 0, 0.00, 1: 51; 2: 24; 3: 21; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 780,  6, 10,  190, 1, 4, 473237, 18288.16, 237, 0.00, 1: 50; 2: 25; 3: 22; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 782,  7,  8,  190, 1, 4, 443520, 18288.16, 0, 0.00, 1: 46; 2: 35; 3: 14; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 925, 10,  6,  190, 1, 4, 473430, 18288.16, 85, 0.00, 1: 52; 2: 26; 3: 14; 4: 11; 
MAPK_Cancer_Cell_Fate_Network, 566, 10,  6,  190, 1, 4, 473408, 18288.16, 0, 0.00, 1: 48; 2: 32; 3: 14; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 179,  8,  7,  190, 1, 4, 443520, 18288.16, 255, 0.00, 1: 48; 2: 29; 3: 20; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 789, 10,  6,  190, 1, 4, 473363, 18288.16, 85, 0.00, 1: 48; 2: 30; 3: 18; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 671,  7,  9,  190, 1, 4, 492818, 18288.16, 0, 0.00, 1: 47; 2: 31; 3: 19; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 643,  6, 10,  190, 1, 4, 473490, 18288.16, 86, 0.00, 1: 46; 2: 34; 3: 16; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 209,  7,  9,  190, 1, 4, 492765, 18288.16, 84, 0.00, 1: 45; 2: 33; 3: 21; 4: 4; 
MAPK_Cancer_Cell_Fate_Network, 909,  7,  8,  190, 1, 4, 443520, 18288.16, 85, 0.00, 1: 53; 2: 23; 3: 17; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 884,  8,  7,  190, 1, 4, 443520, 18288.16, 0, 0.00, 1: 50; 2: 31; 3: 10; 4: 12; 
MAPK_Cancer_Cell_Fate_Network, 575,  8,  7,  190, 1, 4, 443520, 18288.16, 0, 0.00, 1: 46; 2: 35; 3: 14; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 576,  8,  7,  190, 1, 4, 443520, 18288.16, 176, 0.00, 1: 48; 2: 32; 3: 14; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 184,  7,  9,  190, 1, 4, 492759, 18288.16, 0, 0.00, 1: 49; 2: 31; 3: 13; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 442,  8,  7,  190, 1, 4, 443520, 18288.16, 0, 0.00, 1: 48; 2: 33; 3: 12; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 632,  7,  8,  190, 1, 4, 443520, 18288.16, 0, 0.00, 1: 55; 2: 21; 3: 15; 4: 12; 
MAPK_Cancer_Cell_Fate_Network, 663,  7,  8,  190, 1, 4, 443520, 18288.16, 0, 0.00, 1: 47; 2: 33; 3: 15; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 430,  7,  9,  190, 1, 4, 492759, 18288.16, 0, 0.00, 1: 43; 2: 40; 3: 13; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 426,  7,  9,  190, 1, 4, 492731, 18288.16, 82, 0.00, 1: 48; 2: 33; 3: 12; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 399,  7,  9,  190, 1, 4, 492797, 18288.16, 0, 0.00, 1: 51; 2: 27; 3: 15; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 164,  7,  9,  190, 1, 4, 492749, 18288.16, 0, 0.00, 1: 50; 2: 29; 3: 14; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 262, 10,  6,  190, 1, 4, 473367, 18288.16, 0, 0.00, 1: 51; 2: 27; 3: 15; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 832,  7,  8,  190, 1, 4, 443520, 18288.16, 16, 0.00, 1: 44; 2: 39; 3: 12; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 622,  8,  7,  190, 1, 4, 443520, 18288.16, 0, 0.00, 1: 47; 2: 30; 3: 21; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 157,  6, 10,  190, 1, 4, 473456, 18288.16, 85, 0.00, 1: 46; 2: 32; 3: 20; 4: 5; 
MAPK_Cancer_Cell_Fate_Network,  55,  8,  7,  190, 1, 4, 443520, 18288.16, 0, 0.00, 1: 51; 2: 25; 3: 19; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 945,  6, 10,  190, 1, 4, 473497, 18288.16, 0, 0.00, 1: 47; 2: 33; 3: 15; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 585,  7,  8,  190, 1, 4, 443520, 18288.16, 16, 0.00, 1: 47; 2: 32; 3: 17; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 941,  6, 10,  190, 1, 4, 473437, 18288.16, 0, 0.00, 1: 50; 2: 27; 3: 18; 4: 8; 
MAPK_Cancer_Cell_Fate_Network,  62,  8,  7,  190, 1, 4, 443520, 18288.16, 0, 0.00, 1: 46; 2: 33; 3: 18; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 766,  7,  9,  190, 1, 4, 492739, 18288.16, 0, 0.00, 1: 48; 2: 29; 3: 20; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 825,  7,  8,  190, 1, 4, 443520, 18288.16, 0, 0.00, 1: 50; 2: 27; 3: 18; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 228,  7,  9,  190, 1, 4, 492774, 18288.16, 0, 0.00, 1: 49; 2: 29; 3: 17; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 385,  6, 10,  191, 1, 4, 473433, 18288.16, 167, 0.00, 1: 52; 2: 24; 3: 17; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 507,  8,  7,  191, 1, 4, 443520, 18288.16, 0, 0.00, 1: 49; 2: 29; 3: 16; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 447,  6, 10,  191, 1, 4, 473439, 18288.16, 0, 0.00, 1: 47; 2: 33; 3: 14; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 679,  7,  8,  191, 1, 4, 443520, 18288.16, 0, 0.00, 1: 47; 2: 29; 3: 22; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 701, 10,  6,  191, 1, 4, 473440, 18288.16, 0, 0.00, 1: 48; 2: 30; 3: 17; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 374,  5, 13,  191, 1, 4, 504606, 18288.16, 0, 0.00, 1: 52; 2: 26; 3: 13; 4: 12; 
MAPK_Cancer_Cell_Fate_Network, 586,  8,  7,  191, 1, 4, 443520, 18288.16, 120, 0.00, 1: 48; 2: 33; 3: 11; 4: 11; 
MAPK_Cancer_Cell_Fate_Network, 625,  7,  8,  191, 1, 4, 443520, 18288.16, 255, 0.00, 1: 49; 2: 30; 3: 14; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 662,  7,  8,  191, 1, 4, 443520, 18288.16, 0, 0.00, 1: 46; 2: 32; 3: 19; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 524,  7,  8,  191, 1, 4, 443520, 18288.16, 0, 0.00, 1: 45; 2: 37; 3: 12; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 907, 10,  6,  191, 1, 4, 473395, 18288.16, 86, 0.00, 1: 48; 2: 30; 3: 17; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 279,  7,  9,  191, 1, 4, 492816, 18288.16, 0, 0.00, 1: 45; 2: 36; 3: 14; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 768,  8,  7,  191, 1, 4, 443520, 18288.16, 160, 0.00, 1: 48; 2: 32; 3: 13; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 229,  7,  8,  191, 1, 4, 443520, 18288.16, 0, 0.00, 1: 48; 2: 31; 3: 15; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 214,  7,  8,  191, 1, 4, 443520, 18288.16, 0, 0.00, 1: 46; 2: 33; 3: 17; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 127, 10,  6,  191, 1, 4, 473380, 18288.16, 0, 0.00, 1: 45; 2: 34; 3: 18; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 871,  7,  9,  191, 1, 4, 492706, 18288.16, 0, 0.00, 1: 48; 2: 30; 3: 17; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 110,  8,  7,  191, 1, 4, 443520, 18288.16, 0, 0.00, 1: 47; 2: 34; 3: 12; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 108, 10,  6,  191, 1, 4, 473435, 18288.16, 32, 0.00, 1: 47; 2: 33; 3: 14; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 891, 10,  6,  191, 1, 4, 473446, 18288.16, 0, 0.00, 1: 47; 2: 30; 3: 20; 4: 6; 
MAPK_Cancer_Cell_Fate_Network,  91,  6, 10,  191, 1, 4, 473368, 18288.16, 86, 0.00, 1: 47; 2: 30; 3: 20; 4: 6; 
MAPK_Cancer_Cell_Fate_Network,  88,  8,  7,  191, 1, 4, 443520, 18288.16, 40, 0.00, 1: 49; 2: 30; 3: 14; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 715,  7,  8,  191, 1, 4, 443520, 18288.16, 86, 0.00, 1: 46; 2: 33; 3: 17; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 913,  6, 10,  191, 1, 4, 473470, 18288.16, 229, 0.00, 1: 48; 2: 32; 3: 13; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 916,  8,  7,  191, 1, 4, 443520, 18288.16, 237, 0.00, 1: 47; 2: 30; 3: 20; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 931,  7,  8,  191, 1, 4, 443520, 18288.16, 0, 0.00, 1: 46; 2: 34; 3: 15; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 946,  7,  9,  191, 1, 4, 492770, 18288.16, 0, 0.00, 1: 47; 2: 30; 3: 20; 4: 6; 
MAPK_Cancer_Cell_Fate_Network,  47,  6, 10,  191, 1, 4, 473450, 18288.16, 0, 0.00, 1: 49; 2: 28; 3: 18; 4: 8; 
