Seed 1656949570
ARCH 0|F_ID 1|LIMIT 3
before: 
4(255)
Melhor resultado nxn: B_bronchiseptica_and_T_retortaeformis_coinfectio, 375,  6, 10,  237, 0, 4, 470467, 11992.95, 0, 0.00, 0: 6; 1: 52; 2: 50; 3: 23; 4: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 494,  7,  8,  250, 0, 4, 442658, 11992.95, 0, 0.00, 0: 6; 1: 44; 2: 52; 3: 30; 4: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 724,  8,  7,  250, 0, 4, 442563, 11992.95, 31, 0.00, 0: 6; 1: 49; 2: 46; 3: 27; 4: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 355,  8,  7,  250, 0, 4, 442660, 11992.95, 0, 0.00, 0: 6; 1: 46; 2: 51; 3: 26; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 746,  9,  6,  250, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 48; 2: 49; 3: 24; 4: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 749,  6, 10,  250, 0, 4, 470527, 11992.95, 0, 0.00, 0: 6; 1: 43; 2: 56; 3: 25; 4: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 234,  7,  8,  250, 0, 4, 442586, 11992.95, 0, 0.00, 0: 6; 1: 46; 2: 50; 3: 28; 4: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 243,  7,  8,  250, 0, 4, 442659, 11992.95, 0, 0.00, 0: 6; 1: 48; 2: 48; 3: 26; 4: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 445,  9,  6,  250, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 47; 2: 48; 3: 29; 4: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 258,  6, 10,  250, 0, 4, 470484, 11992.95, 0, 0.00, 0: 6; 1: 42; 2: 59; 3: 22; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 898,  6,  9,  250, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 46; 2: 51; 3: 26; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 847,  9,  6,  250, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 44; 2: 54; 3: 26; 4: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 369,  7,  8,  250, 0, 4, 442628, 11992.95, 0, 0.00, 0: 6; 1: 45; 2: 56; 3: 19; 4: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  24,  9,  6,  250, 0, 4, 427869, 11992.95, 128, 0.00, 0: 6; 1: 44; 2: 53; 3: 28; 4: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,   7,  7,  8,  250, 0, 4, 442677, 11992.95, 0, 0.00, 0: 6; 1: 44; 2: 54; 3: 26; 4: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  16,  9,  6,  250, 0, 4, 427869, 11992.95, 128, 0.00, 0: 6; 1: 44; 2: 54; 3: 26; 4: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 139,  7,  8,  250, 0, 4, 442637, 11992.95, 0, 0.00, 0: 6; 1: 42; 2: 59; 3: 22; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  35,  8,  7,  251, 0, 4, 442678, 11992.95, 0, 0.00, 0: 6; 1: 45; 2: 52; 3: 26; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 150,  6,  9,  251, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 45; 2: 53; 3: 24; 4: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 476,  8,  7,  251, 0, 4, 442676, 11992.95, 37, 0.00, 0: 6; 1: 42; 2: 59; 3: 21; 4: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 633,  5, 11,  251, 0, 4, 434823, 11992.95, 0, 0.00, 0: 6; 1: 51; 2: 42; 3: 28; 4: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 397,  9,  6,  251, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 44; 2: 55; 3: 23; 4: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 818,  6,  9,  251, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 44; 2: 56; 3: 21; 4: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 306,  5, 13,  251, 0, 4, 499626, 11992.95, 0, 0.00, 0: 6; 1: 50; 2: 47; 3: 21; 4: 11; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 645,  6,  9,  251, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 42; 2: 58; 3: 23; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 228,  6,  9,  251, 0, 4, 427869, 11992.95, 24, 0.00, 0: 6; 1: 42; 2: 58; 3: 23; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 852,  6,  9,  251, 0, 4, 427869, 11992.95, 51, 0.00, 0: 6; 1: 44; 2: 55; 3: 23; 4: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 834,  7,  8,  251, 0, 4, 442655, 11992.95, 0, 0.00, 0: 6; 1: 46; 2: 51; 3: 25; 4: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 356,  6,  9,  251, 0, 4, 427869, 11992.95, 22, 0.00, 0: 6; 1: 48; 2: 49; 3: 23; 4: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 472,  5, 13,  251, 0, 4, 499183, 11992.95, 19, 0.00, 0: 6; 1: 50; 2: 46; 3: 23; 4: 10; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 310,  5, 12,  252, 0, 4, 470428, 11992.95, 0, 0.00, 0: 6; 1: 48; 2: 48; 3: 24; 4: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 871,  6,  9,  252, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 45; 2: 52; 3: 25; 4: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 495,  5, 12,  252, 0, 4, 470538, 11992.95, 0, 0.00, 0: 6; 1: 47; 2: 49; 3: 25; 4: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 487,  5, 12,  252, 0, 4, 470533, 11992.95, 0, 0.00, 0: 6; 1: 45; 2: 54; 3: 21; 4: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  97,  5, 13,  252, 0, 4, 499712, 11992.95, 0, 0.00, 0: 6; 1: 45; 2: 53; 3: 23; 4: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 189,  5, 11,  252, 0, 4, 434813, 11992.95, 0, 0.00, 0: 6; 1: 46; 2: 51; 3: 24; 4: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 300,  5, 12,  252, 0, 4, 470466, 11992.95, 44, 0.00, 0: 6; 1: 48; 2: 48; 3: 24; 4: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 277,  6,  9,  252, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 46; 2: 50; 3: 26; 4: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 322,  5, 13,  252, 0, 4, 499455, 11992.95, 0, 0.00, 0: 6; 1: 50; 2: 45; 3: 24; 4: 10; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 527,  9,  6,  252, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 41; 2: 59; 3: 23; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 142,  5, 11,  252, 0, 4, 434817, 11992.95, 0, 0.00, 0: 6; 1: 46; 2: 50; 3: 26; 4: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 129,  9,  6,  252, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 48; 2: 47; 3: 26; 4: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  12,  5, 11,  252, 0, 4, 434834, 11992.95, 251, 0.00, 0: 6; 1: 47; 2: 50; 3: 23; 4: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 752,  8,  7,  252, 0, 4, 442621, 11992.95, 32, 0.00, 0: 6; 1: 42; 2: 55; 3: 28; 4: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 672,  6,  9,  252, 0, 4, 427869, 11992.95, 29, 0.00, 0: 6; 1: 44; 2: 54; 3: 24; 4: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 344,  5, 11,  252, 0, 4, 434794, 11992.95, 13, 0.00, 0: 6; 1: 49; 2: 46; 3: 25; 4: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 345,  6, 10,  252, 0, 4, 470432, 11992.95, 0, 0.00, 0: 6; 1: 46; 2: 49; 3: 28; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 997,  6,  9,  252, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 43; 2: 55; 3: 25; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 536,  5, 13,  253, 0, 4, 499358, 11992.95, 22, 0.00, 0: 6; 1: 46; 2: 47; 3: 31; 4: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 208,  7,  8,  253, 0, 4, 442658, 11992.95, 6, 0.00, 0: 6; 1: 44; 2: 51; 3: 29; 4: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 560,  6,  9,  253, 0, 4, 427869, 11992.95, 23, 0.00, 0: 6; 1: 44; 2: 52; 3: 27; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  85,  5, 13,  253, 0, 4, 499552, 11992.95, 0, 0.00, 0: 6; 1: 42; 2: 55; 3: 27; 4: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 861,  9,  6,  253, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 43; 2: 52; 3: 30; 4: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 260,  5, 13,  253, 0, 4, 499316, 11992.95, 47, 0.00, 0: 6; 1: 45; 2: 54; 3: 20; 4: 10; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 611,  7,  8,  253, 0, 4, 442661, 11992.95, 0, 0.00, 0: 6; 1: 44; 2: 51; 3: 29; 4: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 709,  9,  6,  253, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 47; 2: 46; 3: 30; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 127,  9,  6,  253, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 42; 2: 56; 3: 25; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  96,  5, 12,  253, 0, 4, 470447, 11992.95, 4, 0.00, 0: 6; 1: 46; 2: 51; 3: 23; 4: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 962,  6,  9,  253, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 42; 2: 56; 3: 25; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 327,  5, 11,  253, 0, 4, 434782, 11992.95, 0, 0.00, 0: 6; 1: 51; 2: 39; 3: 32; 4: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 919,  5, 12,  253, 0, 4, 470496, 11992.95, 0, 0.00, 0: 6; 1: 52; 2: 37; 3: 33; 4: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 114,  6,  9,  253, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 51; 2: 41; 3: 28; 4: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 241,  6,  9,  254, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 44; 2: 55; 3: 20; 4: 10; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 185,  5, 11,  254, 0, 4, 434829, 11992.95, 0, 0.00, 0: 6; 1: 47; 2: 50; 3: 21; 4: 11; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 425,  5, 12,  254, 0, 4, 470512, 11992.95, 0, 0.00, 0: 6; 1: 49; 2: 47; 3: 21; 4: 12; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 635,  5, 13,  254, 0, 4, 499508, 11992.95, 0, 0.00, 0: 6; 1: 50; 2: 43; 3: 26; 4: 10; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 331,  5, 12,  255, 0, 4, 470489, 11992.95, 0, 0.00, 0: 6; 1: 45; 2: 53; 3: 20; 4: 11; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 664,  5, 12,  255, 0, 4, 470432, 11992.95, 28, 0.00, 0: 6; 1: 46; 2: 50; 3: 23; 4: 10; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  55,  8,  7,  255, 0, 4, 442641, 11992.95, 0, 0.00, 0: 6; 1: 45; 2: 49; 3: 28; 4: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 644,  9,  6,  255, 0, 4, 427869, 11992.95, 2, 0.00, 0: 6; 1: 43; 2: 52; 3: 28; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 391,  5, 13,  255, 0, 4, 499415, 11992.95, 0, 0.00, 0: 6; 1: 47; 2: 47; 3: 26; 4: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 624,  9,  6,  255, 0, 4, 427869, 11992.95, 26, 0.00, 0: 6; 1: 44; 2: 50; 3: 29; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 530,  5, 12,  255, 0, 4, 470523, 11992.95, 0, 0.00, 0: 6; 1: 44; 2: 52; 3: 25; 4: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 901,  5, 11,  255, 0, 4, 434804, 11992.95, 0, 0.00, 0: 6; 1: 49; 2: 45; 3: 24; 4: 11; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 565,  5, 11,  255, 0, 4, 434806, 11992.95, 0, 0.00, 0: 6; 1: 46; 2: 49; 3: 25; 4: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 188,  5, 13,  255, 0, 4, 499431, 11992.95, 35, 0.00, 0: 6; 1: 49; 2: 44; 3: 26; 4: 10; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 856,  5, 11,  255, 0, 4, 434817, 11992.95, 38, 0.00, 0: 6; 1: 49; 2: 45; 3: 24; 4: 11; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 542,  9,  6,  255, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 46; 2: 50; 3: 23; 4: 10; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 250,  5, 12,  256, 0, 4, 470567, 11992.95, 0, 0.00, 0: 6; 1: 44; 2: 51; 3: 26; 4: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 102,  6, 10,  256, 0, 4, 470500, 11992.95, 0, 0.00, 0: 6; 1: 41; 2: 52; 3: 33; 4: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 386,  5, 12,  256, 0, 4, 470508, 11992.95, 0, 0.00, 0: 6; 1: 47; 2: 45; 3: 29; 4: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 619,  6,  9,  256, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 39; 2: 60; 3: 23; 4: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 122,  5, 12,  256, 0, 4, 470435, 11992.95, 0, 0.00, 0: 6; 1: 42; 2: 55; 3: 24; 4: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 998,  5, 12,  256, 0, 4, 470532, 11992.95, 0, 0.00, 0: 6; 1: 43; 2: 52; 3: 27; 4: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  27,  5, 11,  256, 0, 4, 434824, 11992.95, 161, 0.00, 0: 6; 1: 46; 2: 47; 3: 28; 4: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  33,  5, 13,  256, 0, 4, 499574, 11992.95, 0, 0.00, 0: 6; 1: 45; 2: 50; 3: 25; 4: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 197,  5, 12,  256, 0, 4, 470498, 11992.95, 0, 0.00, 0: 6; 1: 42; 2: 54; 3: 26; 4: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 750,  5, 12,  256, 0, 4, 470484, 11992.95, 0, 0.00, 0: 6; 1: 49; 2: 45; 3: 23; 4: 12; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 735,  5, 11,  256, 0, 4, 434826, 11992.95, 0, 0.00, 0: 6; 1: 45; 2: 48; 3: 29; 4: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 198,  5, 11,  257, 0, 4, 434809, 11992.95, 0, 0.00, 0: 6; 1: 47; 2: 46; 3: 26; 4: 10; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 105,  9,  6,  257, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 46; 2: 47; 3: 27; 4: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 580,  5, 13,  257, 0, 4, 499272, 11992.95, 29, 0.00, 0: 6; 1: 48; 2: 46; 3: 23; 4: 12; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  18,  5, 11,  258, 0, 4, 434820, 11992.95, 75, 0.00, 0: 6; 1: 44; 2: 52; 3: 22; 4: 11; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 314,  6,  9,  258, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 41; 2: 54; 3: 27; 4: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 877,  5, 12,  258, 0, 4, 470555, 11992.95, 0, 0.00, 0: 6; 1: 41; 2: 51; 3: 33; 4: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 729,  5, 12,  258, 0, 4, 470530, 11992.95, 0, 0.00, 0: 6; 1: 46; 2: 47; 3: 26; 4: 10; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 480,  5, 11,  258, 0, 4, 434836, 11992.95, 20, 0.00, 0: 6; 1: 44; 2: 49; 3: 28; 4: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 858,  6,  9,  258, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 42; 2: 51; 3: 30; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 407,  5, 12,  258, 0, 4, 470432, 11992.95, 0, 0.00, 0: 6; 1: 44; 2: 51; 3: 24; 4: 10; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 844,  5, 13,  258, 0, 4, 499459, 11992.95, 34, 0.00, 0: 6; 1: 43; 2: 51; 3: 27; 4: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 170,  5, 11,  258, 0, 4, 434801, 11992.95, 0, 0.00, 0: 6; 1: 41; 2: 54; 3: 27; 4: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  11,  5, 12,  258, 0, 4, 470513, 11992.95, 195, 0.00, 0: 6; 1: 41; 2: 55; 3: 25; 4: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 890,  5, 13,  259, 0, 4, 499295, 11992.95, 0, 0.00, 0: 6; 1: 44; 2: 47; 3: 31; 4: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  61,  5, 13,  259, 0, 4, 499549, 11992.95, 0, 0.00, 0: 6; 1: 45; 2: 47; 3: 28; 4: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 922,  5, 12,  259, 0, 4, 470542, 11992.95, 0, 0.00, 0: 6; 1: 46; 2: 45; 3: 29; 4: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 685,  5, 12,  259, 0, 4, 470506, 11992.95, 0, 0.00, 0: 6; 1: 42; 2: 54; 3: 23; 4: 10; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 821,  8,  7,  259, 0, 4, 442595, 11992.95, 0, 0.00, 0: 6; 1: 41; 2: 50; 3: 34; 4: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 155,  5, 13,  260, 0, 4, 499567, 11992.95, 0, 0.00, 0: 6; 1: 41; 2: 51; 3: 31; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 628,  8,  7,  261, 0, 4, 442629, 11992.95, 0, 0.00, 0: 6; 1: 41; 2: 50; 3: 32; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 172,  6, 10,  261, 0, 4, 470380, 11992.95, 41, 0.00, 0: 6; 1: 42; 2: 53; 3: 23; 4: 11; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 466,  5, 11,  261, 0, 4, 434802, 11992.95, 0, 0.00, 0: 6; 1: 43; 2: 49; 3: 28; 4: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 713,  5, 13,  262, 0, 4, 499519, 11992.95, 0, 0.00, 0: 6; 1: 41; 2: 50; 3: 31; 4: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 137,  7,  8,  237, 0, 5, 442679, 11992.95, 0, 0.00, 0: 6; 1: 54; 2: 50; 3: 19; 4: 4; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 271,  7,  8,  237, 0, 5, 442680, 11992.95, 0, 0.00, 0: 6; 1: 52; 2: 50; 3: 24; 4: 2; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 782,  7,  8,  238, 0, 5, 442653, 11992.95, 0, 0.00, 0: 6; 1: 53; 2: 49; 3: 22; 4: 4; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 714,  7,  8,  238, 0, 5, 442641, 11992.95, 0, 0.00, 0: 6; 1: 51; 2: 54; 3: 18; 4: 5; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 319,  7,  8,  238, 0, 5, 442658, 11992.95, 0, 0.00, 0: 6; 1: 49; 2: 56; 3: 20; 4: 3; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  45,  8,  7,  238, 0, 5, 442631, 11992.95, 0, 0.00, 0: 6; 1: 53; 2: 50; 3: 20; 4: 5; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 514,  7,  8,  238, 0, 5, 442669, 11992.95, 0, 0.00, 0: 6; 1: 53; 2: 49; 3: 23; 4: 2; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 817,  6,  9,  238, 0, 5, 427869, 11992.95, 0, 0.00, 0: 6; 1: 59; 2: 44; 3: 16; 4: 7; 5: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 437,  7,  8,  239, 0, 5, 442675, 11992.95, 0, 0.00, 0: 6; 1: 50; 2: 54; 3: 20; 4: 4; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 426,  6,  9,  239, 0, 5, 427869, 11992.95, 0, 0.00, 0: 6; 1: 54; 2: 49; 3: 19; 4: 5; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 579,  6, 10,  239, 0, 5, 470490, 11992.95, 0, 0.00, 0: 6; 1: 54; 2: 48; 3: 21; 4: 4; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 905,  7,  8,  239, 0, 5, 442589, 11992.95, 0, 0.00, 0: 6; 1: 52; 2: 51; 3: 21; 4: 3; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 863,  6, 10,  240, 0, 5, 470443, 11992.95, 0, 0.00, 0: 6; 1: 50; 2: 54; 3: 19; 4: 5; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 493,  6,  9,  240, 0, 5, 427869, 11992.95, 0, 0.00, 0: 6; 1: 51; 2: 52; 3: 20; 4: 5; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  64,  6, 10,  240, 0, 5, 470515, 11992.95, 3, 0.00, 0: 6; 1: 52; 2: 50; 3: 22; 4: 3; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 662,  7,  8,  240, 0, 5, 442626, 11992.95, 0, 0.00, 0: 6; 1: 51; 2: 49; 3: 26; 4: 2; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 309,  6, 10,  240, 0, 5, 470494, 11992.95, 0, 0.00, 0: 6; 1: 51; 2: 52; 3: 20; 4: 5; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  76,  7,  8,  240, 0, 5, 442646, 11992.95, 31, 0.00, 0: 6; 1: 48; 2: 55; 3: 23; 4: 2; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 473,  7,  8,  240, 0, 5, 442680, 11992.95, 0, 0.00, 0: 6; 1: 51; 2: 54; 3: 16; 4: 7; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 436,  7,  8,  240, 0, 5, 442635, 11992.95, 9, 0.00, 0: 6; 1: 52; 2: 49; 3: 23; 4: 4; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 270,  7,  8,  240, 0, 5, 442628, 11992.95, 0, 0.00, 0: 6; 1: 49; 2: 55; 3: 21; 4: 2; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 140,  8,  7,  240, 0, 5, 442627, 11992.95, 2, 0.00, 0: 6; 1: 52; 2: 53; 3: 15; 4: 8; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 256,  6, 10,  240, 0, 5, 470541, 11992.95, 7, 0.00, 0: 6; 1: 53; 2: 47; 3: 25; 4: 2; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 578,  6, 10,  240, 0, 5, 470375, 11992.95, 0, 0.00, 0: 6; 1: 48; 2: 57; 3: 20; 4: 2; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 504,  7,  8,  241, 0, 5, 442678, 11992.95, 21, 0.00, 0: 6; 1: 55; 2: 48; 3: 16; 4: 8; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 975,  8,  7,  241, 0, 5, 442634, 11992.95, 0, 0.00, 0: 6; 1: 52; 2: 51; 3: 18; 4: 7; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 109,  9,  6,  241, 0, 5, 427869, 11992.95, 0, 0.00, 0: 6; 1: 49; 2: 53; 3: 23; 4: 3; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 859,  8,  7,  241, 0, 5, 442646, 11992.95, 0, 0.00, 0: 6; 1: 51; 2: 50; 3: 23; 4: 4; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 913,  6, 10,  241, 0, 5, 470530, 11992.95, 0, 0.00, 0: 6; 1: 48; 2: 56; 3: 21; 4: 2; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 376,  8,  7,  241, 0, 5, 442676, 11992.95, 15, 0.00, 0: 6; 1: 50; 2: 54; 3: 19; 4: 4; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 596,  8,  7,  241, 0, 5, 442664, 11992.95, 15, 0.00, 0: 6; 1: 56; 2: 46; 3: 18; 4: 6; 5: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 363,  6,  9,  241, 0, 5, 427869, 11992.95, 0, 0.00, 0: 6; 1: 56; 2: 44; 3: 20; 4: 8; 5: 1; 
